,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"5,292","4,452","5,589","7,586","8,912","10,716"
Expenses +,"4,635","3,826","4,763","6,542","7,635","9,186"
Operating Profit,657,626,826,"1,044","1,276","1,530"
OPM %,12%,14%,15%,14%,14%,14%
Other Income +,20,115,62,33,32,59
Interest,236,232,213,185,170,149
Depreciation,340,395,406,461,517,590
Profit before tax,101,114,270,431,621,849
Tax %,55%,28%,25%,25%,26%,26%
Net Profit +,45,82,203,321,462,632
EPS in Rs,0.10,0.18,0.45,0.71,1.02,1.37
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%
